Name	Year	Status	Birth Date	Birth Place	Gender	Space Flights	Dead
Joseph M. Acaba	2004	Active	5/17/1967	Inglewood CA	Male	2	False
Loren W. Acton	2001	Retired	03/07/1936	Lewiston MT	Male	1	False
James C. Adamson	1984	Retired	03/03/1946	Warsaw NY	Male	2	False
Thomas D. Akers	1987	Retired	5/20/1951	St. Louis MO	Male	4	False
Buzz Aldrin	1963	Retired	1/20/1930	Montclair NJ	Male	2	False
Andrew M. Allen	1987	Retired	08/04/1955	Philadelphia PA	Male	3	False
Joseph P. Allen	1967	Retired	6/27/1937	Crawsfordsville IN	Male	2	False
Scott D. Altman	1995	Retired	8/15/1959	Lincoln IL	Male	4	False
William A. Anders	1963	Retired	10/17/1933	Hong Kong	Male	1	False
Clayton C. Anderson	1998	Retired	2/23/1959	Omaha NE	Male	2	False
Michael P. Anderson	1995	Deceased	12/25/1959	Plattsburgh NY	Male	2	True
Dominic A. Antonelli	2000	Active	8/23/1967	Detroit MI	Male	2	False
Jerome Apt III 	1985	Retired	4/18/1949	Springfield MA	Male	4	False
Lee J. Archambault	1998	Retired	8/25/1960	Oak Park IL	Male	2	False
Neil A. Armstrong	1962	Deceased	08/05/1930	Wapakoneta OH	Male	2	True
Richard R. Arnold II 	2004	Active	11/26/1963	Cheverly MD	Male	1	False
Jeffrey S. Ashby	1995	Retired	06/01/1954	Dallas TX	Male	3	False
Serena M. Aunon	2009	Active	04/09/1976	Indianapolis IN	Female	0	False
James P. Bagian	1980	Retired	2/22/1952	Philadelphia PA	Male	2	False
Ellen S. Baker	1984	Retired	4/27/1953	Fayettesville NC	Female	3	False
Michael A. Baker	1985	Management	10/27/1953	Memphis TN	Male	4	False
Michael R. Barratt	2000	Active	4/16/1959	Vancouver WA	Male	2	False
Daniel T. Barry	1992	Retired	12/30/1953	Norwalk CT	Male	3	False
Charles A. Bassett II 	1963	Deceased	12/30/1931	Dayton OH	Male	0	True
Alan L. Bean	1963	Retired	3/15/1932	Wheeler TX	Male	2	False
Robert L. Behnken	2000	Active	7/28/1970	Creve Couer MO	Male	2	False
John E. Blaha	1980	Retired	8/26/1942	San Antonio TX	Male	5	False
Michael J. Bloomfield	1995	Retired	3/16/1959	Flint MI	Male	3	False
Guion S. Bluford Jr. 	1978	Retired	11/22/1942	Philadelphia PA	Male	4	False
Eric A. Boe	2000	Active	10/01/1964	Miami FL	Male	2	False
Charles F. Bolden Jr. 	1980	Management	8/19/1946	Columbia SC	Male	4	False
Stephen G. Bowen	2000	Active	2/13/1964	Cohasset MA	Male	3	False
Kenneth D. Bowersox	1987	Retired	11/14/1956	Portsmouth VA	Male	5	False
